         /\\\\            /\\\\  /\\\\\\\\\\\\     /\\\\\\\\\\\\\\\  /\\\\\\\\\\\
         \/\\\\\\        /\\\\\\ \/\\\////////\\\  \/\\\///////////  \/////\\\///
          \/\\\//\\\    /\\\//\\\ \/\\\      \//\\\ \/\\\                 \/\\\
           \/\\\\///\\\/\\\/ \/\\\ \/\\\       \/\\\ \/\\\\\\\\\\\         \/\\\
            \/\\\  \///\\\/   \/\\\ \/\\\       \/\\\ \/\\\///////          \/\\\
             \/\\\    \///     \/\\\ \/\\\       \/\\\ \/\\\                 \/\\\
              \/\\\             \/\\\ \/\\\       /\\\  \/\\\                 \/\\\
               \/\\\             \/\\\ \/\\\\\\\\\\\\/   \/\\\\\\\\\\\\\\\  /\\\\\\\\\\\
                \///              \///  \////////////     \///////////////  \///////////
			MULTI		   DIMENSIONAL 		ETERNO 	       INFINITO

ELIMINA EL ULTIMO PARENTESIS ) DEL LINK, NO ES PARTE DE EL

UNETE A NOSOTROS, AYUDEMOS A LA SOCIEDAD.
COMPARTE ESTE ARCHIVO LO MAS QUE PUEDAS.
https://www.facebook.com/groups/1222842638483075
https://t.me/MDEI_ORG


	ALERGOLOGIA - INFECTOLOGIA (folder)
		ElectrocardiografÃ­a - Colombia.pdf (53.69 MB, shared as exported permanent file link: https://mega.nz/file/v5xg3RqB#CSYd4rt8mm1Rhvf4j0dUtWlbSKpxG2WeYsJmDOIQZ7o)
		ElectrocardiografÃ­a ClÃ­nica - Castellano 2ed.pdf (22.98 MB, shared as exported permanent file link: https://mega.nz/file/2wJRnarA#VMPHP0WwFlZJHbKoFavbKPbcX8ZBJwl6fu_Qpy_BhkM)
		Hampton 150 problemas de ECG.pdf (10.27 MB, shared as exported permanent file link: https://mega.nz/file/3hp3nLiT#Uxm2Zo7uAS5V1jnFh3GfpGY02GtD2bcmG_sGw_SDOYY)
		La Alegría de leer el Electrocardiograma - López Ramírez 2ed.pdf (6.45 MB, shared as exported permanent file link: https://mega.nz/file/HxZlEKbY#opT6B-klcq4nCjtBxEGnH4M5-KqmTks-BouzHhtp8d8)
		Tutorial de Electrocardiograma - Ramón González.pdf (3.34 MB, shared as exported permanent file link: https://mega.nz/file/G4wznbDZ#MLBQeCLrkftiWma4I4FmM11Z7Kft8wU-_jYR48BVtX8)
	Electrolitos (folder)
		Alteraciones de los Electrolitos en Urgencias.pdf (2.29 MB, shared as exported permanent file link: https://mega.nz/file/v84wHYAR#r25iBSP_Jaf2F0JDViuT-36AAO72SIt4oogGEa67QCc)
		Fernando_Guzmán_Eduardo_Carrioza_Liquidos_y_Eletrolitos.pdf (46.97 MB, shared as exported permanent file link: https://mega.nz/file/rgxGybrL#WhBMwV490D-1_Cow-KjG5ILqazE09VdM36AhYBOAN2A)
		Fluidos_electrolitos_y_equilibrio_acido-base.pdf (14.49 MB, shared as exported permanent file link: https://mega.nz/file/PsYzzZhZ#zBgLiRXRgZbQJImtRzCELt4MfA40IoP6NBYagiNqfRo)
		Fundamentos de Medicina Manual de Liquidos y Electrolitos de Hernan Velez 1era Edicion.pdf (8.52 MB, shared as exported permanent file link: https://mega.nz/file/215wiDAS#nJZ3wcxpXhlNDg9BVLjWk3UkVkWZp5ll8A3JO7gIN1U)
		MANEJO AGUDO DE LOS TRASTORNOS ELECTROLÍTICOS Y DELEQUILIBRIO ÁCIDO-BASE 2 ED[Librosmedicospdf.net].pdf (3.73 MB, shared as exported permanent file link: https://mega.nz/file/H5AxzTAY#xHhq38a3Wcwwu707O0IWcC1oaHN2AIySQbwX83OLBSk)
		Notas de Valoracion de Liquidos y Electrolitos medilibros.com.pdf (10.14 MB, shared as exported permanent file link: https://mega.nz/file/i5x2jRbR#4zEGkLRitWyMkORFFH-MnZcGIALtfzFmf9n6MyE0ffc)
		Trastornos de los Electrolitos y del Equilibrio Ácido-Base 5ª Edición – Burton D. Rose[Librosmedicospdf.net].pdf (11.02 MB)
	Embriología (folder)
		Atlas de Embriología Humana  - Vila.pdf (4.01 MB, shared as exported permanent file link: https://mega.nz/file/vo5mgTJY#XNgBvYaRHdED-NvsAWVodh6p_HVAVCIkLgHB4hqT5b4)
		embriologia.medica.langman.12a_medilibros.com.pdf (150.87 MB, shared as exported permanent file link: https://mega.nz/file/C4BGlYrI#EI-04weY8kXFYo8_ESpkxspnsETdZ3BR7iQA2rZA3eQ)
		embriologia_humana_y_biologia_del_desarrollo_carlson_5ed_medilibros.com.pdf (55.30 MB, shared as exported permanent file link: https://mega.nz/file/Tl5UVLYY#AnGDs-OFPp2ECWjCDwTU5BH_3Espr5Vp2q0vifTgU8g)
		EmbriologÃ­a - Hib.pdf (68.82 MB, shared as exported permanent file link: https://mega.nz/file/u8pnRDJC#P3PtWMqQbhp4GL2NlL4rKzi6EQPTCGKs54sfBo_Il0A)
		Embriología - Moore 9ed.pdf (26.88 MB, shared as exported permanent file link: https://mega.nz/file/Gs50Tb7Y#317NyiIxxIxirPEWqILlc0nrwNga0mji_1zIHebF7zA)
		Embriología Humana  - V. Flores - 1° ed. 2015.pdf (289.46 MB, shared as exported permanent file link: https://mega.nz/file/ixonEYBT#MfZIofdAMw3QJPrzTdnmXGc1hoAZAPpvhqd0QYiTusM)
		Patrones Reconocibles De Malformaciones Humanas - Smith.pdf (106.43 MB, shared as exported permanent file link: https://mega.nz/file/P9wFxIgY#PJutNfg2ekLPImpxtEErM7XQvBhEDZLW4GKJ-RD_YqE)
	Endocrinología (folder)
		Endocrinologia_Secretos_5a_ed.pdf (9.09 MB, shared as exported permanent file link: https://mega.nz/file/nk4ihDyQ#opj-IEN63Odvr8z9yZMHmUPWQHG1PLf9vN2yyt9UOhc)
		Endocrinología clinica de Dorantes y MartÃ-nez (5a. ed.).pdf (31.46 MB, shared as exported permanent file link: https://mega.nz/file/nwQ0HbwB#gWgxbSPmP0DBhAiXfdgLL_BxTc-eYfHIAgFGWc53XHk)
		Fundamentos de Medicina Endocrinologia 7ma Edicion_Vélez.pdf (24.91 MB, shared as exported permanent file link: https://mega.nz/file/usZnUDYT#fScdWOJU8CcBqJ2gSzk-mqrFRE7TGmzO-Hrcx7l5dNQ)
	Epidemiología (folder)
		EpidemiologÃ­a y EstadÃ­stica.pdf (352.41 KB, shared as exported permanent file link: https://mega.nz/file/29IHWQgQ#xr6ncdaxn2T2o2-eKPR4a-6woLhl0MxfMxQrSJ2t3uk)
		Fundamentos de la Salud PÃºblica - Barragan.pdf (13.11 MB, shared as exported permanent file link: https://mega.nz/file/ilwTxJrZ#qNfV_L3JjF9fiCga5RKUZSMiqy9wI4sPp9A4fW0BXxQ)
		Fundamentos de Salud PÃºblica - Toledo.pdf (2.18 MB, shared as exported permanent file link: https://mega.nz/file/akxV3ZYR#gFkB2uTTfz6cbDi-zcLDKvzyHeIdQjWIt6wvP1Fsdic)
		Libro de Salud PÃºblica - Macias.pdf (2036.88 KB, shared as exported permanent file link: https://mega.nz/file/7o4hjYKL#obdyL_0l2lQUsGqObDJxtBoaDq_y3NJ-tKViepcDS20)
		Manual de Supervivencia en Salud PÃºblica.pdf (338.11 KB, shared as exported permanent file link: https://mega.nz/file/qkZmUBrK#Rw04pD2wcuOnvsv7ipkp_BwQrPld8liuLV6UcaUy2rA)
	Farmacología (folder)
		Administracion de Medicamentos y Calculo de Dosis_booksmedicos.org.pdf (85.96 MB, shared as exported permanent file link: https://mega.nz/file/y4YSXYxK#B9h4tOFkjwlaoq3iwYqi9Ydrbf7jBDagY51zu1nIcao)
		Farmacologia Basica y Clinica Katzung 13a Edicion.pdf (202.03 MB, shared as exported permanent file link: https://mega.nz/file/Tlg3UATL#z7SpbC1e2V6iLyj46e214NBg5Ui1TCk6n87d9f11-Q4)
		Farmacologia General Una Guia de Estudio[Librosmedicospdf.net].pdf (30.76 MB, shared as exported permanent file link: https://mega.nz/file/mpIh0AzK#g5VZpBCGzRPg1tfZSC0muiWCY6rUt9N5znfl4VXfumY)
		Farmacologia Serie Revision de Temas Rosenfeld 6a Edicion.epub (7.15 MB, shared as exported permanent file link: https://mega.nz/file/bpRVnKJa#0Evnl3-L-ZauIWIfBu1wD5v1FKqgStWdYMOS656yXvo)
		Farmacologia Serie Revision de Temas Rosenfeld 6a Edicion.pdf (8.66 MB, shared as exported permanent file link: https://mega.nz/file/yoQBTILI#5urIS0-c2fPhbOaTCFKaix9ebpBHE2B-1Zhdbq7rDNg)
		Farmacologia-en-Nutricion-Mestres-pdf.pdf (79.65 MB, shared as exported permanent file link: https://mega.nz/file/LtgR1Jxb#LNTgjSbKeSRNsHR6TJBE90EJ6_Mnvu2ZwKXuFHnNS2M)
		Farmacologia.Texto.y.Atlas..Lüllmann.pdf (109.65 MB, shared as exported permanent file link: https://mega.nz/file/m5AVhIDA#7SorZ8xg-HQ5fhJW1EfSY-U3KDJaZGT8ft7zc3cYj68)
		FarmacologÃ­a - Velazquez 18ed.pdf (337.70 MB, shared as exported permanent file link: https://mega.nz/file/zt4jxJoC#K5nt_PjMNrSLFTsn6xAjaPex8ZH5H8x2_O_w1xFRpRI)
		FarmacologÃ­a BÃ¡sica - Carmine Pascuzzo.pdf (9.89 MB, shared as exported permanent file link: https://mega.nz/file/f8giTCyR#FbsC3zqj1i9siOPElCYMWPV7FY1gqGALX9jzJ3yU7R4)
		FARMACOLOGÍA MÉDICA EN ESQUEMAS - M.J.NEAL - 5ta Edición.pdf (125.07 MB, shared as exported permanent file link: https://mega.nz/file/PkASHTZD#P8sg3L3XHJ7_hFwZK5joOH4l3Fg12aUcszWXpPDcFng)
		Farmacologáa Básica - Carmine Pascuzzo.pdf (9.89 MB, shared as exported permanent file link: https://mega.nz/file/PgBhCY4R#4HZp1an_zhZVs2bCphJTziWAVptMuAC-OFbzDRbfJIs)
		Farmacología - Goodman _ Gilman 12ª.pdf (55.78 MB, shared as exported permanent file link: https://mega.nz/file/bxhUFTrb#8qeuCamHn19QqYCYFkwkryhYZ32OU9la4f8OJSyl5Mg)
		Goodman _ Gilman. Las Bases Farmacologicas de la Terapeutica 13a Edicion.pdf (36.69 MB, shared as exported permanent file link: https://mega.nz/file/CxgCTA6J#MJ-8NVsSC08Qy-QKeWcoizgVJb3S2MiHZeUN6oD9WaY)
		Goodman y Gilman Manual de Farmacologia y Terapeutica 2a ed_booksmedicos.org.pdf (41.04 MB, shared as exported permanent file link: https://mega.nz/file/v8w13KIR#nwzTVIZ7w4DIC0WgR0vZLrIwNP7muBqsKIHgPRx2rFs)
		Interacciones Farmacoloigicas.pdf (16.90 MB, shared as exported permanent file link: https://mega.nz/file/ylQnVBya#LHFYf-hEN9av2R75ld9KUcLrORAjkPUj53IKh8LtqyM)
		Introduccion_a_la_farmacocinetica_booksmedicos.org.pdf (17.54 MB, shared as exported permanent file link: https://mega.nz/file/SghEHJKA#67GKQ2j3z1L7lpp_wakcf91qM_QF9GkXo0bf6foOahc)
		Rang y Dale Farmacologia 8a Edicion.pdf (47.39 MB, shared as exported permanent file link: https://mega.nz/file/D1oinD4a#h-9jwTv8PM3gYBtoJd9emT8NW7ZZLuwCZZtWrXEP7nw)
		temas clave de farmacología.pdf (63.99 MB, shared as exported permanent file link: https://mega.nz/file/255miZhK#PgDQT53GOCi2x3zHCrQkSsjftVmDk8B4hMEGZ3F0_m0)
	Farmacéutica (folder)
		Tecnologia Farmaceutica Vol I_booksmedicos.pdf (254.72 MB, shared as exported permanent file link: https://mega.nz/file/n9J2yAaT#SRF4tVosdxRVqz1Qaor_YPMPj-kpqzMd-sdkYoEsaV8)
		Tecnologia Farmaceutica Vol II_booksmedicos.pdf (238.22 MB, shared as exported permanent file link: https://mega.nz/file/u94kiJyQ#_fc5HjLNxpLZ1lwKVMZedNGV8pSbbPSuUUyduilEKp8)
	Fisiología (folder)
		Fisiología respiratoria (folder)
			Fisiologia Respiratoria 7ma West.pdf (48.20 MB, shared as exported permanent file link: https://mega.nz/file/qwwigDiL#ni5A2m-5Ved7YCRF-SPAV98KMx_yKvC5arjzVCEQZII)
			Fisiología Respiratoria - Cristancho 3ª.pdf (3.58 MB, shared as exported permanent file link: https://mega.nz/file/DtImlC7Y#wG3RUnyAPCG78QOgVdlkW-EO6nnbuxOCHnjRVuDSdNw)
		Bases de la fisiología - Gal.pdf (32.06 MB, shared as exported permanent file link: https://mega.nz/file/qkJUjBZb#r26FGJBGtxKdPlRd18MZz9HeHMoQ94RX7oOGQqW8u0A)
		Fisiologia Humana - Tresguerres 3ed.pdf (25.48 MB, shared as exported permanent file link: https://mega.nz/file/y5ZX0Z4R#QYafjOHTdfEUDs7YuAJiuZcUnLY2hHtKU15_4PmqJA0)
		Fisiologia Medica Boron 3a Edicion.pdf (105.02 MB, shared as exported permanent file link: https://mega.nz/file/q1IHwSYL#IC1WWluDtKDoravtpVG9bFGcLQAsgfQz-NtidgHNkSU)
		fisiologia_cardiovascular,_renal_y_respiratoria_alexanderson_medilibros.com.pdf (12.13 MB, shared as exported permanent file link: https://mega.nz/file/vxZlACrR#rcPJVKvXVEMnwy3sLOxlYQBDdpyer_gdgeWX69UidT0)
		fisiologia_costanzo_5ed_medilibros.com.pdf (24.63 MB, shared as exported permanent file link: https://mega.nz/file/DkZ3jDwQ#63nGT1tpfycyxBLrC6ytxL0H_H0QUSwSXNPADstmrmU)
		Fisiología médica F Conti.pdf (425.57 MB, shared as exported permanent file link: https://mega.nz/file/ikxAWaiR#Kng--_jqMWbR3H3PHmuYciMuU2xG0QUZlg9XZERpu0Y)
		fundamentos_de_fisiologia_martin_cuenca_medilibros.com.pdf (50.40 MB, shared as exported permanent file link: https://mega.nz/file/DxAVhSJR#a_eUhOp_65yeh8HL4LFvTVAvywpC4ZKSfVsyygAYTp4)
		Ganong Fisiologia Medica 24ed medilibros.com.pdf (40.62 MB, shared as exported permanent file link: https://mega.nz/file/a4pzAYqa#ScSdniTRxDEU_rBUBrUfDkyZY2GO6CyCFm5ONCEIGTo)
		Guyton y Hall. Tratado de fisio - John E. Hall.epub (43.73 MB, shared as exported permanent file link: https://mega.nz/file/W9501RDA#mG1uJ_-kGNhNGBYfjNAYPrCzvcMN6RsD3MnHA44twrk)
		Temas Clave Fisiologia Costanzo 4a Ed_booksmedicos.org.pdf (25.95 MB, shared as exported permanent file link: https://mega.nz/file/johU3aSD#RsGDLZbF4AJ8Lk3IrmLoNOnDxhK1QpYMyxGWVy0dhmE)
	Física (folder)
		Fisica para Ciencias e Ingenieria Vol1 SERWAY JEWETT 7ed medilibros.com.pdf (22.23 MB, shared as exported permanent file link: https://mega.nz/file/7pJz1YDZ#aufqlgIpnY3SbIiZb-LApBTLQdC2HhFfBsibkblq4Tk)
		Fisica. Para Ciencias e Ingenieria Vol2 SERWAY JEWETT 7ed medilibros.com.pdf (27.02 MB, shared as exported permanent file link: https://mega.nz/file/O1gFBSiB#veq28HkYM-ah2S7VAw_jn-E2OyftWF4SnMIFxnu5qXc)
		fisica_general_gutierrez_medilibros.com.pdf (21.28 MB, shared as exported permanent file link: https://mega.nz/file/j0hj1RTD#3Xi8b7MHNqtfqjdxMeBxoH47gOpLkscexYbvHIt2XBw)
		fisica_i_cuellar_2ed_medilibros.com.pdf (34.23 MB, shared as exported permanent file link: https://mega.nz/file/r1plGY6S#9BTPPEHDXH6LWJUQTSyr7Jbp__SNvIK4TyVKz_5ls3I)
		Fundamentos de Fisica Conceptual Hewitt_booksmedicos.org.pdf (75.79 MB, shared as exported permanent file link: https://mega.nz/file/rwxDBBwK#D3zwqbGhsMvHiNyYLaJR59fSqhfq_Uy7KUjjGD8O1XA)
		Fundamentos de Fisica. Volumen 1_booksmedicos.org.pdf (29.75 MB, shared as exported permanent file link: https://mega.nz/file/Hl5DnDhL#Y2SwQs8-_i8aYDwQESnaCGt96v5ozkagD0ME1H9lpl0)
		Fundamentos de Fisica. Volumen 2_booksmedicos.org.pdf (25.84 MB, shared as exported permanent file link: https://mega.nz/file/e0xSUL4S#AMgVgS2NTQdgHtaVkB3R0dSc8OCno6guZ03B5r02-uw)
		física_problemas_y_ejercicios_resueltos_alcaraz_medilibros.com.pdf (59.32 MB, shared as exported permanent file link: https://mega.nz/file/uhg3FSqD#brRt300WH15q_-03vUmV-yTRMnXMMEx0CinQ0fynRa4)
		Introduccion a la Fisicoquimica Termodinamica_booksmedicos.org.pdf (26.11 MB, shared as exported permanent file link: https://mega.nz/file/r8h1wKCL#qtMBZmqMHMu2356KiSl7RXfbe1cvRYepXbURoK6Uo2A)
	Físicoquímica (folder)
		Fisicoquimica II materia electricidad y magnetismo fuerzas y campos medilibros.com.pdf (23.79 MB, shared as exported permanent file link: https://mega.nz/file/OxAWRZCZ#Rdeff8Y0KOEPZUv9CQjd-PZJ0-qNrYJJce39OcPT2qk)
		fisicoquimica_ball_medilibros.com.pdf (147.32 MB, shared as exported permanent file link: https://mega.nz/file/3hY1hLQT#w7Tu_HADfn6EUeyPiHWDyNuYesSIHUjJCVr-IOJHrzk)
		fisicoquimica_levine_5ed_vol1_medilibros.com.pdf (37.39 MB, shared as exported permanent file link: https://mega.nz/file/v0BkXa7T#nE_jTi6H9Wr3zOicEtPoc79rZjAIryw1d7jcP1j6pGg)
		fisicoquimica_volumen_2_levine_medilibros.com.pdf (198.64 MB, shared as exported permanent file link: https://mega.nz/file/z4YhyYSB#dX_qoADbMEenxBRPPM0q_SohUXNOMNPBC50qAYvaDew)
		Fisicoquímica - Ira Levine - Quinta Edicion I.pdf (36.88 MB, shared as exported permanent file link: https://mega.nz/file/Cl5nwRyY#vJ5KnLLpvqXHu8HLBKzYtL7k44zqoj06G91B954MZR4)
		Fisicoquímica - Ira Levine - Quinta Edicion II.pdf (52.62 MB, shared as exported permanent file link: https://mega.nz/file/Tpo3SRAQ#U-iDYjnbU-_by59q1sq-G3kfGkEYYGObKT9RLowijuY)
		fundamentos_de_fisicoquimica_maron_y_prutton_medilibros.com.pdf (19.36 MB, shared as exported permanent file link: https://mega.nz/file/Do513DzC#SNku1-MX5gioIZxoSqzGqyQ7XvKAEzo-evPpWJzs2vU)
		Principios de Fisicoquimica LEVINE 6e medilibros.com.pdf (38.85 MB, shared as exported permanent file link: https://mega.nz/file/H0JAWZjR#PPC_w3WZ0g5m_kCCupEKCS35U3ISfV5WPtTwNP2OP6g)
		Principios de Fisicoquimica Levine_booksmedicos.org.pdf (7.57 MB, shared as exported permanent file link: https://mega.nz/file/ixYQ1QaD#gMVqI-3WfqH_0nb4n75QlX1gauQpnZbfHyhABoRf9Gs)
		Quimica Fisica Engel_booksmedicos.org.pdf (54.35 MB, shared as exported permanent file link: https://mega.nz/file/Xxpx0YBA#Vm5isCgMAABFAd4hccDP-x9q5ELrYDwySAg0da72Gok)
	Gasometría (folder)
		Gases_Sanguíneos,_Fisiología_de_la_Respiración_e_Insuficiencia_Respiratoria_Aguda_-Patiño_7ed[Librosmedicospdf.net].pdf (4.90 MB, shared as exported permanent file link: https://mega.nz/file/z0hR3JLA#W2jXJuophQGseNiXtxZWdZ2zcryUW_xRfLIlTLwYRvc)
	Gastroenterologìa (folder)
		Atlas de Endoscopia Gastrointestinal - Mel Wilcox 2ed.pdf (211.34 MB, shared as exported permanent file link: https://mega.nz/file/T9wmwAKI#j4nXlwuc97LgRUUytuESfIk9MYjICBk41o8P18S8ZJ4)
		Conductas.en.Gastroenterologia.pdf (24.86 MB, shared as exported permanent file link: https://mega.nz/file/K44GECZY#WtL0Myl3rpf8JuFqe2XC_PQq7PEQADcYDaNgJxJXbhg)
		Escenario Clinico y Controversias Hepatologia 2015_booksmedicos.org.pdf (5.45 MB, shared as exported permanent file link: https://mega.nz/file/HwAhUb5I#k2ZQd9Ca-PcQ-Mos9XaMhpD4--FIoa5uSMDX12WhdEs)
		Farreras-Rozman Enfermedades del Aparato Digestivo Y Gastroenterología.pdf (8.09 MB, shared as exported permanent file link: https://mega.nz/file/utA2lbqa#6ptGQPrNtzvqLYniwqON9WT3wENVpKSxPG_UynBSjj4)
		Gastroenterologia clinica Roesch.pdf (29.05 MB, shared as exported permanent file link: https://mega.nz/file/KxpG2SAZ#HUhWpxBH7cn9A9Z_RuZ4LRj2bU2Blfilmzsq6QHK8do)
		Gatroenterología - Netter.pdf (45.54 MB, shared as exported permanent file link: https://mega.nz/file/2lgC3ZyL#5sqpomjR96I5mu-ENb8MXTrMzoqtBXW0Uqb-cbj7CI4)
		J Pickhardt Perry Y M Arluk Glen - Atlas De Imagenes En Gastroenterologia .pdf (100.80 MB, shared as exported permanent file link: https://mega.nz/file/fkZABSLa#ve7PgnvfBgXhDyj2g3ghzFUy3gzoNiYOHbddJBlbJLg)
		Manual Clinico de Gastroenterologia y Hepatologia Talley.pdf (4.93 MB, shared as exported permanent file link: https://mega.nz/file/q8pCSSoD#m5O4CwhHKqB_8scUeFNJcXbov9KF97oRO7Nz5aKBsgk)
		Manual de Gastroenterologia Clinica_booksmedicos.org.pdf (55.83 MB, shared as exported permanent file link: https://mega.nz/file/KtoGATqQ#f8FF_BgQ_puNd57DQlz823Ato5B9EXWopIQ3n-qgLyk)
		VILLALOBOS GASTROENTEROLOGIA.pdf (20.51 MB, shared as exported permanent file link: https://mega.nz/file/vhwWiAqa#y5R_N-FzPjJ9pzW1V7kigiv0fIXV46bifuxEwGhQpQU)
	Genética (folder)
		B. Laffon V. Valdiglesias E. Pásaro - Terapia Génica - 1º (2015)[Librosmedicospdf.net].pdf (1302.62 KB, shared as exported permanent file link: https://mega.nz/file/20hWGLyR#-VYmlOhT0clOmBYBzYyAT9UTjdhXbSiOS5vfM-XCCDg)
		conceptos_de_genetica_klug_10ed_medilibros.com.pdf (574.97 MB, shared as exported permanent file link: https://mega.nz/file/K9Yk3aCY#A37ayp8GZdWJOYvUE-pseVR9hrXI56LDoNmvidcjoXQ)
		Genes IX - Lewin.pdf (133.27 MB, shared as exported permanent file link: https://mega.nz/file/KspmkSQS#LcNIsIC5JCDjsEj8dccjw2TJg3-2it3fuSNf3Ee5kPE)
		Genetica Clinica - Guizar_medilibros.com.pdf (248.71 MB, shared as exported permanent file link: https://mega.nz/file/n4ZihbKb#Hwh4JgUapFx1t-sA33ihOJt_0oQBfzj3Ama2EBJSoUs)
		Genetica clinica - Victoria del Castillo_medilibros.com.pdf (32.08 MB, shared as exported permanent file link: https://mega.nz/file/fpI2xSqa#vNYNU38uLViKiG1A5eINFIXqM7b3A1An_ZLWQfjS5Vo)
		Genetica General - Eugenia Cienfuegos.pdf (2.21 MB, shared as exported permanent file link: https://mega.nz/file/n0R2WSSB#WRKRPDgQhJQCL5FIVWAOJr5dX8YPclhmxOq3shomuMA)
		Genetica humana - Solari.4th_medilibros.com.pdf (74.69 MB, shared as exported permanent file link: https://mega.nz/file/Hspw0bgK#DLgT567KnD_w9zCQPuPMcajUIWiLSfp7-3LtIl2lgTM)
		Genetica humana - strachan_medilibros.com.pdf (29.93 MB, shared as exported permanent file link: https://mega.nz/file/u5ozhLRB#m8LJTh2t-DcSuRyOJNRMRNDfloadtbbchTnTq8sUsQE)
		Genetica Humana -Francisco-Javier-Novo-Villaverde.pdf (49.27 MB, shared as exported permanent file link: https://mega.nz/file/mt5BUKRZ#TIguNDTUMt8HtJURwAqQC3GISS3sFNRFJoBsJtgyfKc)
		Genetica Un Enfoque Conceptual - Pierce_medilibros.com.pdf (85.15 MB, shared as exported permanent file link: https://mega.nz/file/OxQ0TAzY#RyHot-7CSsArcIw4b2D05syAiZJWHLKfWzwHXpe3d04)
		Genética molecular y citogenetica humana - Cesar Paz.pdf (12.74 MB, shared as exported permanent file link: https://mega.nz/file/Lx4ySYQa#YUwhFXcSo7arMQ5t4EuYFLECAvCWUKLciQSf2YzbaPA)
		Genética texto y atlas - Pasarge.pdf (107.04 MB, shared as exported permanent file link: https://mega.nz/file/zgxkkbhI#FgX_ip4_HDGH6ckVgtiWy9Db2Gf6cvgYLZdaOB9Juus)
		Genética.- Griffiths - Genetica (7ma edición).pdf (115.32 MB, shared as exported permanent file link: https://mega.nz/file/W84CzSyb#Dn-rAllhasUUtSIXZJ8PPOt23Q9InWnFEl4v9uuQ8wk)
		human_molecular_genetics_strachan_4e_medilibros.com.pdf (259.09 MB, shared as exported permanent file link: https://mega.nz/file/O05VVQrA#JF1NKk5SqIEaiEzCIfxhlvV-PJnTdVyvJBBxLOPmjkk)
		introduccion_a_la_genetica_humana_lisker_3ed.pdf (20.60 MB, shared as exported permanent file link: https://mega.nz/file/fkADyLrS#QyFaZvcpu1GiSi0PoQdZKK4n0f3Kzf1G1_0K5fXwyVU)
	Geriatría (folder)
		5 envejecimiento teorias dr john.pdf (105.48 KB, shared as exported permanent file link: https://mega.nz/file/OsZBjJDQ#Opw3gpLVakjyu2sO4IbB29MsFHCV7B1HuasYh4-EnX8)
		Dialnet-Teorias Sobre El Fenomeno Del Envejecimiento.pdf (86.84 KB, shared as exported permanent file link: https://mega.nz/file/zwpTzCDa#Vln3OhBiknoIcGYMJ-kEKKHOT08ESg3T_e6zZmu_I7o)
		Geriatria-d-Hyver-3ª-Edicion.pdf (8.50 MB, shared as exported permanent file link: https://mega.nz/file/mhICmBKY#MgSoIy7XeJ47ydGhIob2Zvd1H03RZcdNhpA2-SkG5UA)
		Manual Adulto Mayor-Modulo3.pdf (197.03 KB, shared as exported permanent file link: https://mega.nz/file/7wRhxBoZ#bVYtrmQrqlxW4ML70TqHiFJ-Oo2JPikkVEAWiD3aT9E)
		Practica-de-La-Geriatria-3a__Rodríguez García.pdf (39.79 MB, shared as exported permanent file link: https://mega.nz/file/DkJAiTDJ#tyZ8kU15qEFc5Nd-KkpsJfoTAbh7K7_oiQi2kXLHp3U)
	Ginecología y obstetricia (folder)
		Ecografia.en.Diagnostico.Prenatal.pdf (38.30 MB, shared as exported permanent file link: https://mega.nz/file/D1ABQTYI#CmO014H8yjs6inAJM-U6TEDICOaehJ5BmRvf_iX8edM)
		Endocrinologia Ginecologica Clinica y Esterilidad de Speroff 8va Edicion.pdf (30.19 MB, shared as exported permanent file link: https://mega.nz/file/XpRCCI7I#4FHgd3mFK1RsCsQUVlqQSABKFzjbxe5WSxj8EbIVBHM)
		Fundamentos de Obstetricia - SEGO.pdf (18.89 MB, shared as exported permanent file link: https://mega.nz/file/PgpSgTjZ#5o-E5mg5ffnQFR6Fx00-to_FWzrgR-IAUSQ7zzF0PbA)
		Ginecologia Panduro_booksmedicos.org.pdf (133.88 MB, shared as exported permanent file link: https://mega.nz/file/m9pXQKDI#_cOozfC1IUztJCyhFF0DwNNky_OrTwjgTWoMYTivtXU)
		Ginecologia y Obstetricia Esencial.pdf (258.44 MB, shared as exported permanent file link: https://mega.nz/file/z1gBBK6K#Ft9z9vHggmd0K1eOAggCGBzxlH0RPK38MYG5ZfR7Hzk)
		Ginecologia.de.Novak.14ed.pdf (49.48 MB, shared as exported permanent file link: https://mega.nz/file/P9hFUYxC#XfGRf7p5HgE99WUBgxbRcAw42U61cgywr5v6VErUNow)
		Ginecología y Obstetricia Aplicadas- Ahued Ahued 2ed.pdf (63.42 MB, shared as exported permanent file link: https://mega.nz/file/fkpCxKBT#jR7gijP_cUvA4U6Vufy0ifUCxHedz52omi9OtPyntbY)
		Manual de Asistencia al Parto de Martinez Galeano 1era Edicion.pdf (177.68 MB, shared as exported permanent file link: https://mega.nz/file/P1gRSRrC#f2aN-uuiVU7-QN_uwJuulor_XSM3nXnWtivjyxTH-lY)
		Manual de maniobras y procedimientos en obstetricia - Carlos Armando Félix Báez.pdf (101.20 MB, shared as exported permanent file link: https://mega.nz/file/esYQzLiD#mVCISiIMG9QVxFjsrL5YBLUIW8JAzwCWIUXvDGA2aRM)
		Manual de Patologia Medica y Embarazo - García de Lucas (2012).pdf (45.90 MB, shared as exported permanent file link: https://mega.nz/file/PghmCSwK#RjGVK-nK_WisMNltQV4zfi3NQnychclOW3_WIGqjqAU)
